Name	Price	Link
Huawei Mate 20	R$ 1,900	https://www.kimovil.com/en/where-to-buy-huawei-mate-20
OnePlus 6	R$ 1,871	https://www.kimovil.com/en/where-to-buy-oneplus-6
OnePlus 6	R$ 2,298	https://www.kimovil.com/en/where-to-buy-oneplus-6-eu-256gb
Xiaomi Black Shark 2	R$ 2,623	https://www.kimovil.com/en/where-to-buy-black-shark-2
Xiaomi Black Shark 2	R$ 2,107	https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-8gb-256gb
Xiaomi Black Shark 2	R$ 1,969	https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-8gb-128gb
Huawei P30 Pro	R$ 3,893	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro
Huawei P30 Pro	R$ 3,556	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-128gb
Huawei P30 Pro	R$ 4,020	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-256
Huawei P30 Pro	R$ 3,269	https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-128gb-al00
OnePlus 7 Pro	R$ 3,612	https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-12gb-256gb-global
Meizu 16th Plus	R$ 1,654	https://www.kimovil.com/en/where-to-buy-meizu-16th-plus-8gb-256gb-cn
Samsung Galaxy Note 9	R$ 2,493	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-dual-eu
Nubia Red Magic 3	--	https://www.kimovil.com/en/where-to-buy-nubia-red-magic-3-12gb-256gb-nx628j
Huawei Honor V20	R$ 1,544	https://www.kimovil.com/en/where-to-buy-huawei-honor-v20
Huawei Honor V20	R$ 1,650	https://www.kimovil.com/en/where-to-buy-huawei-honor-v20-8gb
Samsung Galaxy Note 9	R$ 2,680	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note--n9600
Xiaomi Mi 9	R$ 3,143	https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-battle-angel
Samsung Galaxy S10 Plus	R$ 4,414	https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975f-512gb
Pocophone F1	R$ 2,135	https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-256gb
Huawei Mate 20 PRO	R$ 2,450	https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-al10
Huawei P20 Pro	R$ 1,816	https://www.kimovil.com/en/where-to-buy-huawei-p20-pro-al00-6gb-64gb
