Name,Price,Link,Antutu,Custo Benefício
Xiaomi Redmi Note 6 Pro,616,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro,115991,00188
Redmi Note 7,778,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-64gb,144599,00185
LeEco Le Max 2,824,https://www.kimovil.com/en/where-to-buy-leeco-letv-le-max-2-4gb-64gb-x829,152866,00185
Meizu Note 8,553,https://www.kimovil.com/en/where-to-buy-meizu-note-8-global,102354,00185
Xiaomi Redmi Note 6 Pro,631,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro-64gb,115991,00183
Redmi Note 7,793,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-4gb-128gb,144599,00182
Xiaomi Redmi Note 5,639,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-5-global-64gb,116663,00182
Xiaomi Black Shark 2,2182,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2,395000,00181
Xiaomi Mi Note 3,767,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3-128gb,139313,00181
Lenovo Z5,634,https://www.kimovil.com/en/where-to-buy-lenovo-z5,115000,00181
Samsung Galaxy A6s,750,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-a6s,136370,00181
Elephone U Pro,768,https://www.kimovil.com/en/where-to-buy-elephone-u-pro,139165,00181
Xiaomi Black Shark 2,2188,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-8gb-128gb,395000,00180
Nokia 8,1154,https://www.kimovil.com/en/where-to-buy-nokia-8-plus,207434,00179
Xiaomi Black Shark 2,2219,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global,395000,00178
Lenovo Z5s,933,https://www.kimovil.com/en/where-to-buy-lenovo-z5s-6gb-64gb,166232,00178
OnePlus 7,2065,https://www.kimovil.com/en/where-to-buy-oneplus-7-8gb-256gb-cn,362000,00175
OnePlus 6,1663,https://www.kimovil.com/en/where-to-buy-oneplus-6-cn,292275,00175
BlackBerry DTEK60,843,https://www.kimovil.com/en/where-to-buy-blackberry-dtek60,148267,00175
Nubia Z18,1608,https://www.kimovil.com/en/where-to-buy-nubia-z18,280085,00174
Sharp Aquos S2,506,https://www.kimovil.com/en/where-to-buy-sharp-aquos-s2,88285,00174
Nubia Red Magic Mars,1856,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars-8gb-128gb,320971,00172
Xiaomi Mi8 SE,1012,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-se,174333,00172
Vivo X20,825,https://www.kimovil.com/en/where-to-buy-vivo-x20,142062,00172
