Name,Price,Link,Antutu
OnePlus 7 Pro,3612,https://www.kimovil.com/en/where-to-buy-oneplus-7-pro-12gb-256gb-global,364025
Meizu 16th Plus,1654,https://www.kimovil.com/en/where-to-buy-meizu-16th-plus-8gb-256gb-cn,291186
Samsung Galaxy Note 9,2493,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-dual-eu,235465
Huawei Honor V20,1544,https://www.kimovil.com/en/where-to-buy-huawei-honor-v20,305525
Huawei Honor V20,1650,https://www.kimovil.com/en/where-to-buy-huawei-honor-v20-8gb,305525
Samsung Galaxy Note 9,2680,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note--n9600,275000
Xiaomi Mi 9,3143,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-battle-angel,372006
Samsung Galaxy S10 Plus,4414,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s10-plus-sm-g975f-512gb,340345
Pocophone F1,2135,https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-256gb,296100
Huawei Mate 20 PRO,2450,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-al10,313561
Huawei P20 Pro,1816,https://www.kimovil.com/en/where-to-buy-huawei-p20-pro-al00-6gb-64gb,211123
Asus Zenfone 5z,2717,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-8gb-256gb,274499
Xiaomi Black Shark 2,2127,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global,395000
Huawei P30,2272,https://www.kimovil.com/en/where-to-buy-huawei-p30-al00,309056
Huawei Mate 10,3226,https://www.kimovil.com/en/where-to-buy-huawei-mate-10,211486
Huawei Mate 10,1329,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-l09,211486
Samsung Galaxy S9+,2727,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus,262561
Samsung Galaxy S8+,2166,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus,194971
Samsung Galaxy S8+,1703,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus4gb-64gb-g955fd,202156
Meizu 16th Plus,1654,https://www.kimovil.com/en/where-to-buy-meizu-16th-plus,291186
Meizu 16th Plus,1654,https://www.kimovil.com/en/where-to-buy-meizu-16th-plus-8gb-128gb-cn,291186
Lenovo Z5 Pro GT,1969,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt,371273
Huawei Honor V20 MOSCHINO,1880,https://www.kimovil.com/en/where-to-buy-huawei-honor-v20-moschino,305525
Huawei Honor View 20,2214,https://www.kimovil.com/en/where-to-buy-huawei-honor-view-20,305525
Huawei Honor View 20,2657,https://www.kimovil.com/en/where-to-buy-huawei-honor-view-28-256gb,305525
Samsung Galaxy S9+,2271,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-dual-sim,242789
Samsung Galaxy S9+,2534,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plusg965fd-6gb-256gb,242446
Huawei P20 Pro,2173,https://www.kimovil.com/en/where-to-buy-huawei-p20-pro-al00-6gb-128gb,211123
Asus Zenfone 5z,1720,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5zzs620kl-vc-6gb-64gb,274499
UMIDIGI F1 Play,776,https://www.kimovil.com/en/where-to-buy-umidigi-f1-play,134000
Xiaomi Black Shark 2,2678,https://www.kimovil.com/en/where-to-buy-black-shark-black-shark-2-global-12gb,395000
Huawei P30,2642,https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-128gb-al00,309056
Xiaomi Mi 9T,1591,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9t,
Xiaomi Mi 9T,1626,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9t-6gb-128gb,
Xiaomi Mi Mix 2,1569,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2,206574
Huawei Mate 10,1370,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-4gb-64gb-al10,211486
OnePlus 5T,1174,https://www.kimovil.com/en/where-to-buy-oneplus-5t,212558
OnePlus 5T,1174,https://www.kimovil.com/en/where-to-buy-oneplus-5t-8gb-128gb,212558
Huawei Mate 10 Pro,1871,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro-6gb-128gb,213133
Samsung Galaxy Note 9,3343,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9,235456
Oneplus 6T,3147,https://www.kimovil.com/en/where-to-buy-oneplus-6t-mclaren-cn,297132
Redmi Note 7,604,https://www.kimovil.com/en/where-to-buy-redmi-note-7,144599
Redmi Note 7,697,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-4gb-64gb,144599
UMIDIGI S3 Pro,1048,https://www.kimovil.com/en/where-to-buy-umidigi-s3-pro,156000
Redmi Note 7,612,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global,144599
Redmi Note 7,709,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-64gb,144599
Redmi Note 7,764,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-global-4gb-128gb,144599
Oppo R17 Pro,3221,https://www.kimovil.com/en/where-to-buy-oppo-r17-pro,170000
Samsung Galaxy Note 9,3493,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-note-9-8gb-512gb-eu-n960fd,236415
Pocophone F1,1900,https://www.kimovil.com/en/where-to-buy-xiaomi-poco-f1-armoured-edition,296100
Asus Zenfone 5z,1767,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va,274499
Nokia X7,957,https://www.kimovil.com/en/where-to-buy-nokia-x7,174000
Huawei Mate 20,1749,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-al00,313561
Samsung Galaxy S9+,2565,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-eu,242789
Samsung Galaxy S9+,2727,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s9-plus-g965-6gb-128gb,262561
Redmi Note 7,736,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-cn-4gb-128gb,144599
Huawei P30,2980,https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-256gb-al00,309056
Asus ZenFone 6,2169,https://www.kimovil.com/en/where-to-buy-asus-zenfone-6,365000
Xiaomi Mi MIX 2,1785,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-6gb-256gb,206574
Xiaomi Mi MIX 2,1358,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-6gb-128gb,206574
Xiaomi Mi MIX 2,1569,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2-special-edition,206574
Google Pixel 2 XL,1434,https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl,203768
Huawei Mate 10,2479,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-6gb-128gb,211486
Google Pixel 2 XL,1453,https://www.kimovil.com/en/where-to-buy-google-pixel-2-xl-128gb,203768
Vivo NEX S,2092,https://www.kimovil.com/en/where-to-buy-vivo-nex-ultimate,291277
HTC U12+,2548,https://www.kimovil.com/en/where-to-buy-htc-u12-plus-6gb-128gb,275000
Samsung Galaxy S7 Edge,1264,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s7-edgesm-g9350-dual,158313
Nokia X7,1222,https://www.kimovil.com/en/where-to-buy-nokia-x7-ta-1131-6gb-64gb,174000
Nokia X7,1262,https://www.kimovil.com/en/where-to-buy-nokia-x7-ta-1131-6gb-128gb,174000
Lenovo Z5 Pro,1041,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro,166380
Nubia Red Magic Mars,1374,https://www.kimovil.com/en/where-to-buy-nubia-red-magic-mars,320971
UMIDIGI F1,610,https://www.kimovil.com/en/where-to-buy-umidigi-f1,134000
Huawei nova 4,1677,https://www.kimovil.com/en/where-to-buy-huawei-nova-4-high,209500
Redmi Note 7,795,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-6gb-64gb,144599
Meizu Note 9,760,https://www.kimovil.com/en/where-to-buy-meizu-note-9-6gb-64gb,178976
Xiaomi Mi 9,3338,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-9-8gb-128gb-global,372006
Asus ZenFone 4 Pro,2135,https://www.kimovil.com/en/where-to-buy-asus-zenfone-4-pro-64gb,175256
Xiaomi Redmi Note 6 Pro,586,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro,115991
Xiaomi Redmi Note 6 Pro,630,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-6-pro-64gb,115991
Xiaomi Mi8 Lite,889,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-global,143942
Huawei Mate 20 PRO,3170,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-pro-8gb-128gb-al10,313561
Xiaomi Mi8 Lite,693,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-global-64gb,143942
Asus Zenfone 5z,1990,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z,274499
Xiaomi Mi Mix 2s,2915,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-mix-2s-256gb,277178
LG G6,1900,https://www.kimovil.com/en/where-to-buy-lg-g6-h870ds-32gb,156293
Nubia Z18,1546,https://www.kimovil.com/en/where-to-buy-nubia-z18,280085
Meizu 15 Plus,1240,https://www.kimovil.com/en/where-to-buy-meizu-15-plus-64gb-global,184706
Meizu Note 9,756,https://www.kimovil.com/en/where-to-buy-meizu-note-9-global,178976
Huawei P30 Pro,4966,https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-512gb,309056
Huawei P30,3105,https://www.kimovil.com/en/where-to-buy-huawei-p30-8gb-128gb,309056
Huawei P30 Pro,4040,https://www.kimovil.com/en/where-to-buy-huawei-p30-pro-8gb-256gb-al00,309056
Asus Zenfone 5z,2899,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5z-zs620kl-va-8gb-256gb,274499
Xiaomi Mi Note 3,797,https://www.kimovil.com/en/where-to-buy-xiaomi-mi-note-3-128gb,139313
Huawei Mate 10 Pro,1812,https://www.kimovil.com/en/where-to-buy-huawei-mate-10-pro,213133
LG V30,1562,https://www.kimovil.com/en/where-to-buy-lg-v30-plus,160289
LG G6,1387,https://www.kimovil.com/en/where-to-buy-lg-g6eu-lgh870-dualsim,156293
Samsung Galaxy S8+,2386,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s8-plus-6gb-128gb,194971
Samsung Galaxy S7 Edge,1752,https://www.kimovil.com/en/where-to-buy-samsung-galaxy-s7-edge-eu,158313
Xiaomi Black Shark Helo,1768,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo,275000
Xiaomi Black Shark Helo,1851,https://www.kimovil.com/en/where-to-buy-xiaomi-black-shark-helo-8gb,275000
Huawei Honor Magic 2,1785,https://www.kimovil.com/en/where-to-buy-huawei-honor-magic-2-8gb-tny-tl00,300886
Lenovo Z5 Pro,1157,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-128gb,166380
Vivo NEX Dual Display,2682,https://www.kimovil.com/en/where-to-buy-vivo-nex-dual-display,245000
Lenovo Z5 Pro GT,2665,https://www.kimovil.com/en/where-to-buy-lenovo-z5-pro-gt-8gb-256gb,371273
UMIDIGI F1,699,https://www.kimovil.com/en/where-to-buy-umidigi-f1-global,134000
Meizu Note 9,747,https://www.kimovil.com/en/where-to-buy-meizu-note-9,178976
Redmi Note 7,1083,https://www.kimovil.com/en/where-to-buy-xiaomi-redmi-note-7-cn-128gb,144599
Vivo iQoo,1902,https://www.kimovil.com/en/where-to-buy-vivo-iqoo,361408
Xiaomi Mi8 Lite,678,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite,143942
Xiaomi Mi8 Lite,799,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite-6gb,143942
Xiaomi Mi8 Lite,977,https://www.kimovil.com/en/where-to-buy-xiaomi-mi8-lite6gb-128gb,143942
Ulefone Armor 3,912,https://www.kimovil.com/en/where-to-buy-ulefone-armor-3,83000
Nokia 8.1,1389,https://www.kimovil.com/en/where-to-buy-nokia-8-1,137866
Razer Phone 2,2435,https://www.kimovil.com/en/where-to-buy-razer-phone-2,275000
Huawei Mate 20,2738,https://www.kimovil.com/en/where-to-buy-huawei-mate-20-6gb-128gb-al00,313561
Huawei Honor Magic 2,1682,https://www.kimovil.com/en/where-to-buy-huawei-honor-magic-2,300886
Asus Zenfone 5,1019,https://www.kimovil.com/en/where-to-buy-asus-zenfone-5-ze620kl,136645
